review_id,order_id,product_id,user_id,rating,review_text,review_date
R00000024,O00001084,P000118,U000400,4,Battery life is amazing.,2022-11-22 09:53:45
R00000025,O00001923,P000191,U000429,3,Stopped working after a few weeks.,2021-11-04 08:03:11
R00000026,O00000100,P000231,U000300,4,Stopped working after a few weeks.,2021-11-17 08:22:10
R00000027,O00001180,P000228,U000272,4,"Excellent product, works as expected.",2024-01-26 14:06:30
R00000028,O00000965,P000091,U000451,3,Not fully satisfied with the performance.,2022-05-29 01:32:27
R00000029,O00000793,P000156,U000356,4,Great value and fast delivery.,2024-08-04 06:20:06
R00000030,O00000030,P000135,U000301,4,Sound quality is top-notch.,2022-11-04 19:11:04
R00000031,O00000629,P000270,U000500,4,Performance is smooth and reliable.,2024-04-05 12:28:19
R00000032,O00000945,P000247,U000432,1,Very good quality for the price.,2022-10-08 16:12:13
R00000033,O00000573,P000253,U000017,2,Very good quality for the price.,2024-11-24 16:56:55
R00000034,O00000908,P000231,U000217,3,Stopped working after a few weeks.,2024-01-26 14:04:30
R00000035,O00001081,P000024,U000071,2,Stopped working after a few weeks.,2023-10-02 19:26:26
R00000036,O00000451,P000011,U000034,2,Packaging was slightly damaged but product is fine.,2023-05-09 07:54:09
R00000037,O00001610,P000175,U000167,3,Very good quality for the price.,2024-04-05 07:25:04
R00000038,O00001291,P000212,U000006,3,Not fully satisfied with the performance.,2024-10-07 23:18:36
R00000039,O00001079,P000216,U000025,3,Not fully satisfied with the performance.,2024-06-20 10:32:34
R00000040,O00000255,P000010,U000114,4,Very good quality for the price.,2024-12-20 18:24:18
R00000041,O00000125,P000042,U000454,4,Not fully satisfied with the performance.,2024-03-22 04:47:49
R00000042,O00001928,P000103,U000379,5,Battery life is amazing.,2023-07-05 18:33:03
R00000043,O00000252,P000212,U000194,4,Stopped working after a few weeks.,2024-02-02 06:57:12
R00000044,O00000586,P000091,U000183,4,Stopped working after a few weeks.,2022-07-19 17:14:43
R00000045,O00001569,P000216,U000402,5,"Excellent product, works as expected.",2025-01-14 13:48:41
R00000046,O00000825,P000235,U000034,4,Great value and fast delivery.,2023-01-12 11:41:26
R00000047,O00000508,P000249,U000450,4,Great value and fast delivery.,2024-08-08 23:50:08
R00000048,O00000890,P000049,U000245,4,Packaging was slightly damaged but product is fine.,2024-09-09 18:28:23
R00000049,O00000071,P000015,U000080,4,"Excellent product, works as expected.",2023-08-30 05:33:16
R00000050,O00001609,P000107,U000310,1,Stopped working after a few weeks.,2024-04-06 21:43:01
R00000051,O00001533,P000252,U000420,4,Very good quality for the price.,2023-09-07 18:40:28
R00000052,O00000248,P000239,U000313,4,Battery life is amazing.,2024-02-17 03:44:28
R00000053,O00001451,P000266,U000297,4,Stopped working after a few weeks.,2024-09-09 11:22:21
R00000054,O00000213,P000300,U000358,4,"Excellent product, works as expected.",2024-05-06 22:50:49
R00000055,O00000910,P000221,U000294,2,Performance is smooth and reliable.,2023-12-25 21:01:34
R00000056,O00001742,P000003,U000349,3,"Decent overall, could be better.",2022-03-28 21:41:23
R00000057,O00001245,P000262,U000460,5,Not fully satisfied with the performance.,2022-05-25 11:30:09
R00000058,O00001697,P000240,U000239,3,Very good quality for the price.,2022-10-13 09:01:56
R00000059,O00001183,P000241,U000103,1,"Decent overall, could be better.",2025-01-12 09:42:42
R00000060,O00000362,P000142,U000492,4,Sound quality is top-notch.,2022-08-17 09:47:35
R00000061,O00001474,P000013,U000227,4,"Decent overall, could be better.",2022-06-06 13:16:23
R00000062,O00000679,P000090,U000034,5,"Decent overall, could be better.",2023-07-08 20:56:28
R00000063,O00001622,P000140,U000320,3,"Decent overall, could be better.",2023-05-08 01:33:11
R00000064,O00001090,P000287,U000009,4,"Excellent product, works as expected.",2024-10-03 14:44:08
R00000065,O00001988,P000021,U000239,4,Great value and fast delivery.,2024-08-22 21:33:21
R00000066,O00001848,P000111,U000439,4,Not fully satisfied with the performance.,2022-10-10 02:03:07
R00000067,O00000988,P000007,U000194,4,"Excellent product, works as expected.",2023-08-02 08:14:43
R00000068,O00001513,P000043,U000428,4,Performance is smooth and reliable.,2024-10-17 04:24:46
R00000069,O00000112,P000021,U000177,5,Stopped working after a few weeks.,2023-03-18 06:03:31
R00000070,O00001488,P000205,U000184,5,Not fully satisfied with the performance.,2023-03-06 01:44:29
R00000071,O00001454,P000186,U000208,4,Battery life is amazing.,2023-12-06 11:29:06
R00000072,O00000384,P000288,U000355,3,Battery life is amazing.,2024-10-09 11:17:43
R00000073,O00001396,P000060,U000175,4,Very good quality for the price.,2022-12-15 20:59:43
R00000074,O00001055,P000250,U000460,5,Performance is smooth and reliable.,2024-09-23 14:13:22
R00000075,O00000756,P000046,U000181,5,Sound quality is top-notch.,2024-03-26 06:03:12
R00000076,O00000325,P000178,U000292,5,"Decent overall, could be better.",2023-11-29 20:09:46
R00000077,O00001624,P000131,U000368,4,"Excellent product, works as expected.",2024-05-04 11:43:34
R00000078,O00000788,P000084,U000083,2,Performance is smooth and reliable.,2023-09-14 23:42:21
R00000079,O00000369,P000011,U000317,5,"Excellent product, works as expected.",2024-05-04 14:35:17
R00000080,O00001820,P000073,U000391,5,Stopped working after a few weeks.,2022-10-29 01:44:33
R00000081,O00000070,P000270,U000286,3,Great value and fast delivery.,2023-08-31 11:05:10
R00000082,O00000858,P000239,U000044,2,Great value and fast delivery.,2024-11-20 15:00:00
R00000083,O00001484,P000060,U000243,3,Very good quality for the price.,2024-04-06 12:17:31
R00000084,O00001556,P000270,U000122,4,Stopped working after a few weeks.,2023-07-16 06:56:41
R00000085,O00001692,P000087,U000187,4,Packaging was slightly damaged but product is fine.,2022-06-19 22:07:08
R00000086,O00001475,P000011,U000163,4,Packaging was slightly damaged but product is fine.,2022-01-16 10:02:23
R00000087,O00001799,P000237,U000146,4,Very good quality for the price.,2024-03-12 03:44:30
R00000088,O00000479,P000215,U000460,3,Performance is smooth and reliable.,2024-03-30 23:14:11
R00000089,O00000282,P000268,U000148,5,Battery life is amazing.,2022-02-28 14:29:33
R00000090,O00001648,P000232,U000345,4,Not fully satisfied with the performance.,2022-04-16 18:04:12
R00000091,O00001557,P000153,U000423,5,Sound quality is top-notch.,2023-06-09 06:04:37
R00000092,O00001730,P000290,U000239,2,Battery life is amazing.,2023-03-09 19:47:08
R00000093,O00000211,P000221,U000247,4,"Excellent product, works as expected.",2022-06-29 20:57:15
R00000094,O00000298,P000029,U000186,5,Performance is smooth and reliable.,2024-12-28 03:08:45
R00000095,O00001885,P000068,U000257,5,"Decent overall, could be better.",2021-10-30 05:46:52
R00000096,O00001834,P000096,U000205,4,"Decent overall, could be better.",2024-06-26 20:24:50
R00000097,O00000652,P000119,U000438,4,Very good quality for the price.,2021-10-23 15:21:36
R00000098,O00001234,P000291,U000213,4,Great value and fast delivery.,2021-04-06 15:02:26
R00000099,O00001503,P000085,U000141,3,Not fully satisfied with the performance.,2023-09-15 20:24:40
R00000100,O00001932,P000146,U000452,2,Great value and fast delivery.,2023-11-21 18:25:43
R00000101,O00000917,P000222,U000407,4,Sound quality is top-notch.,2021-10-27 03:49:09
R00000102,O00000994,P000252,U000009,5,Packaging was slightly damaged but product is fine.,2024-01-25 07:03:23
R00000103,O00000430,P000223,U000470,5,Packaging was slightly damaged but product is fine.,2024-06-30 09:37:56
R00000104,O00001371,P000138,U000418,4,"Excellent product, works as expected.",2022-12-05 05:43:39
R00000105,O00000240,P000029,U000011,5,Very good quality for the price.,2024-07-15 16:36:01
R00000106,O00000880,P000030,U000292,4,Very good quality for the price.,2024-08-02 22:43:47
R00000107,O00000621,P000042,U000418,3,"Decent overall, could be better.",2024-04-25 22:57:21
R00000108,O00000257,P000207,U000395,4,Battery life is amazing.,2023-04-05 18:45:55
R00000109,O00000612,P000268,U000174,4,Battery life is amazing.,2023-11-06 21:33:36
R00000110,O00000545,P000073,U000209,5,Packaging was slightly damaged but product is fine.,2024-03-20 20:13:03
R00000111,O00000772,P000157,U000157,5,Very good quality for the price.,2024-10-12 10:45:17
R00000112,O00001420,P000055,U000021,4,"Excellent product, works as expected.",2024-07-09 21:39:41
R00000113,O00001042,P000227,U000427,3,"Decent overall, could be better.",2023-08-03 07:27:53
R00000114,O00001790,P000248,U000304,4,"Excellent product, works as expected.",2024-02-13 02:01:53
R00000115,O00000760,P000043,U000399,2,Sound quality is top-notch.,2022-06-21 22:36:04
R00000116,O00000383,P000076,U000372,4,Great value and fast delivery.,2024-12-18 01:03:32
R00000117,O00001104,P000019,U000097,4,Battery life is amazing.,2025-01-26 04:32:52
R00000118,O00000974,P000130,U000354,5,Stopped working after a few weeks.,2024-02-06 21:45:48
R00000119,O00000353,P000263,U000130,5,Performance is smooth and reliable.,2024-06-16 17:08:46
R00000120,O00001606,P000257,U000033,2,Performance is smooth and reliable.,2021-10-18 11:15:07
R00000121,O00001826,P000153,U000424,4,Packaging was slightly damaged but product is fine.,2023-06-15 06:09:40
R00000122,O00001037,P000146,U000409,4,Very good quality for the price.,2022-08-04 10:25:13
R00000123,O00001108,P000088,U000118,3,Not fully satisfied with the performance.,2025-02-12 06:55:01
R00000124,O00000495,P000228,U000213,4,Very good quality for the price.,2023-02-16 15:03:06
R00000125,O00000394,P000021,U000352,5,"Excellent product, works as expected.",2024-09-17 13:45:35
R00000126,O00001547,P000257,U000185,5,"Excellent product, works as expected.",2023-09-23 06:18:23
R00000127,O00000465,P000264,U000176,4,Performance is smooth and reliable.,2024-04-28 03:35:44
R00000128,O00000887,P000241,U000250,3,Battery life is amazing.,2024-01-27 18:11:43
R00000129,O00001194,P000091,U000187,4,Packaging was slightly damaged but product is fine.,2024-09-28 16:45:05
R00000130,O00000367,P000072,U000391,5,Not fully satisfied with the performance.,2021-10-27 05:52:49
R00000131,O00001894,P000233,U000152,2,Packaging was slightly damaged but product is fine.,2022-11-22 05:24:55
R00000132,O00001874,P000054,U000327,5,Packaging was slightly damaged but product is fine.,2023-08-19 01:15:13
R00000133,O00000745,P000143,U000500,4,"Excellent product, works as expected.",2023-08-09 20:29:50
R00000134,O00000530,P000196,U000344,5,Battery life is amazing.,2023-09-25 12:43:03
R00000135,O00000803,P000191,U000116,4,Stopped working after a few weeks.,2024-11-18 08:56:56
R00000136,O00001224,P000034,U000109,4,Very good quality for the price.,2024-11-29 21:21:20
R00000137,O00001979,P000193,U000186,1,Very good quality for the price.,2025-02-15 13:09:14
R00000138,O00001906,P000262,U000448,3,Very good quality for the price.,2025-01-18 16:44:40
R00000139,O00001700,P000056,U000096,5,Sound quality is top-notch.,2024-11-15 19:40:30
R00000140,O00001545,P000135,U000475,5,"Excellent product, works as expected.",2024-01-09 17:13:25
R00000141,O00001314,P000025,U000115,2,"Excellent product, works as expected.",2025-02-22 01:05:02
R00000142,O00000307,P000043,U000234,4,Packaging was slightly damaged but product is fine.,2023-11-05 09:04:10
R00000143,O00001667,P000248,U000410,5,"Excellent product, works as expected.",2021-11-14 19:04:44
R00000144,O00000863,P000097,U000291,4,Great value and fast delivery.,2025-02-19 06:58:13
R00000145,O00001567,P000271,U000128,3,"Excellent product, works as expected.",2024-06-15 23:04:55
R00000146,O00000531,P000156,U000261,4,"Decent overall, could be better.",2024-11-24 20:48:45
R00000147,O00000655,P000078,U000327,4,Performance is smooth and reliable.,2023-09-21 03:59:41
R00000148,O00001260,P000065,U000273,5,Battery life is amazing.,2021-07-20 17:08:44
R00000149,O00000234,P000202,U000120,5,Not fully satisfied with the performance.,2024-07-23 06:07:50
R00000150,O00000121,P000292,U000361,4,"Excellent product, works as expected.",2022-10-30 10:23:55
R00000151,O00001698,P000151,U000192,4,Packaging was slightly damaged but product is fine.,2023-06-24 12:44:48
R00000152,O00000950,P000089,U000233,5,Packaging was slightly damaged but product is fine.,2021-01-18 01:30:48
R00000153,O00000618,P000279,U000485,5,Very good quality for the price.,2023-08-12 08:50:54
R00000154,O00001179,P000096,U000321,2,Very good quality for the price.,2023-07-13 23:12:54
R00000155,O00000308,P000146,U000432,3,"Decent overall, could be better.",2023-12-27 08:56:04
R00000156,O00000136,P000172,U000432,4,"Decent overall, could be better.",2023-06-09 22:03:34
R00000157,O00000555,P000019,U000142,5,Very good quality for the price.,2024-07-28 03:59:29
R00000158,O00001674,P000275,U000078,4,"Decent overall, could be better.",2021-04-13 11:01:07
R00000159,O00000584,P000054,U000037,2,Very good quality for the price.,2021-04-28 06:36:44
R00000160,O00001641,P000015,U000409,3,Great value and fast delivery.,2024-08-16 23:46:02
R00000161,O00000671,P000049,U000183,4,"Excellent product, works as expected.",2022-12-09 17:43:16
R00000162,O00000835,P000182,U000235,4,Sound quality is top-notch.,2021-04-14 00:39:00
R00000163,O00000110,P000030,U000110,3,Battery life is amazing.,2021-10-25 14:17:09
R00000164,O00001165,P000118,U000276,1,Sound quality is top-notch.,2024-06-17 08:28:17
R00000165,O00001960,P000159,U000325,4,Stopped working after a few weeks.,2024-11-29 16:48:00
R00000166,O00001465,P000127,U000447,5,"Decent overall, could be better.",2024-11-01 01:13:09
R00000167,O00001729,P000121,U000365,5,Sound quality is top-notch.,2022-12-05 05:44:49
R00000168,O00001243,P000191,U000101,4,Performance is smooth and reliable.,2024-09-13 03:20:23
R00000169,O00000212,P000065,U000039,5,"Decent overall, could be better.",2024-05-13 16:32:44
R00000170,O00001768,P000247,U000191,3,Packaging was slightly damaged but product is fine.,2024-10-16 04:21:19
R00000171,O00001121,P000283,U000178,5,Sound quality is top-notch.,2022-04-17 02:38:26
R00000172,O00000680,P000132,U000431,2,Packaging was slightly damaged but product is fine.,2024-11-23 19:22:21
R00000173,O00001951,P000280,U000368,2,Great value and fast delivery.,2024-08-03 22:52:49
R00000174,O00001839,P000173,U000364,4,Great value and fast delivery.,2024-12-25 19:13:58
R00000175,O00000412,P000112,U000350,5,Packaging was slightly damaged but product is fine.,2024-11-15 13:54:32
R00000176,O00001325,P000285,U000051,5,Stopped working after a few weeks.,2023-09-17 11:28:12
R00000177,O00000783,P000016,U000329,2,Packaging was slightly damaged but product is fine.,2024-09-20 01:10:00
R00000178,O00001346,P000104,U000255,4,"Excellent product, works as expected.",2024-10-06 05:25:00
R00000179,O00000875,P000271,U000259,4,Packaging was slightly damaged but product is fine.,2024-01-29 14:44:22
R00000180,O00001653,P000160,U000244,5,Great value and fast delivery.,2024-09-23 12:06:13
R00000181,O00001279,P000044,U000209,4,Packaging was slightly damaged but product is fine.,2024-11-23 15:27:46
R00000182,O00000786,P000119,U000202,3,"Excellent product, works as expected.",2023-03-14 13:34:26
R00000183,O00001819,P000002,U000125,5,Sound quality is top-notch.,2023-07-31 18:49:17
R00000184,O00001199,P000036,U000260,3,Sound quality is top-notch.,2023-04-07 18:02:00
R00000185,O00000808,P000145,U000223,4,Very good quality for the price.,2024-12-24 11:25:19
R00000186,O00000713,P000153,U000013,2,Sound quality is top-notch.,2024-12-23 10:11:54
R00000187,O00001991,P000052,U000296,3,Sound quality is top-notch.,2022-03-09 22:56:45
R00000188,O00001660,P000050,U000197,5,Packaging was slightly damaged but product is fine.,2023-09-30 14:17:13
R00000189,O00001191,P000012,U000343,4,Very good quality for the price.,2024-12-08 21:44:14
R00000190,O00001226,P000071,U000132,3,"Decent overall, could be better.",2025-01-18 12:32:24
R00000191,O00000603,P000191,U000341,1,Battery life is amazing.,2024-10-19 01:02:58
R00000192,O00000271,P000137,U000160,2,Packaging was slightly damaged but product is fine.,2022-03-14 14:13:03
R00000193,O00001385,P000289,U000173,1,Packaging was slightly damaged but product is fine.,2024-10-10 02:13:19
R00000194,O00000232,P000055,U000053,4,Battery life is amazing.,2024-07-02 20:34:20
R00000195,O00000050,P000236,U000324,5,"Excellent product, works as expected.",2023-04-15 15:05:50
R00000196,O00000463,P000171,U000312,4,"Excellent product, works as expected.",2024-06-16 19:38:15
R00000197,O00001106,P000055,U000183,5,Great value and fast delivery.,2024-01-05 07:27:50
R00000198,O00000856,P000039,U000228,4,Not fully satisfied with the performance.,2025-01-08 09:20:20
R00000199,O00000694,P000057,U000497,5,"Decent overall, could be better.",2024-07-25 02:46:24
R00000200,O00001552,P000213,U000473,3,Battery life is amazing.,2024-12-25 02:21:56
R00000201,O00001873,P000212,U000209,3,Not fully satisfied with the performance.,2024-07-31 19:42:22
R00000202,O00000527,P000038,U000329,3,Battery life is amazing.,2024-09-10 02:53:33
R00000203,O00000174,P000062,U000244,4,Sound quality is top-notch.,2024-09-18 09:21:58
R00000204,O00000721,P000140,U000179,2,"Excellent product, works as expected.",2022-09-14 06:11:05
R00000205,O00000415,P000082,U000314,5,"Excellent product, works as expected.",2024-11-15 21:22:26
R00000206,O00000238,P000157,U000433,5,Very good quality for the price.,2023-12-14 14:55:56
R00000207,O00001473,P000267,U000327,3,Very good quality for the price.,2021-04-04 11:40:09
R00000208,O00001336,P000243,U000304,4,Not fully satisfied with the performance.,2025-01-17 11:25:50
R00000209,O00001064,P000177,U000335,4,Sound quality is top-notch.,2023-03-04 15:31:51
R00000210,O00000024,P000228,U000306,3,Performance is smooth and reliable.,2024-11-16 13:15:27
R00000211,O00001767,P000261,U000062,4,Sound quality is top-notch.,2023-09-15 10:35:11
R00000212,O00000064,P000201,U000389,3,Not fully satisfied with the performance.,2024-04-26 05:37:41
R00000213,O00000290,P000244,U000352,5,Packaging was slightly damaged but product is fine.,2024-12-06 07:25:08
R00000214,O00000189,P000296,U000389,2,"Decent overall, could be better.",2022-10-30 02:18:33
R00000215,O00000702,P000123,U000196,3,"Excellent product, works as expected.",2022-07-25 13:10:08
R00000216,O00001815,P000100,U000131,5,Packaging was slightly damaged but product is fine.,2023-11-06 07:27:28
R00000217,O00001138,P000254,U000161,4,Not fully satisfied with the performance.,2023-07-31 11:44:45
R00000218,O00000355,P000005,U000087,1,Packaging was slightly damaged but product is fine.,2023-01-06 08:01:32
R00000219,O00000417,P000025,U000463,2,Not fully satisfied with the performance.,2023-10-14 00:39:50
R00000220,O00001246,P000078,U000484,3,Great value and fast delivery.,2024-10-15 15:41:27
R00000221,O00000931,P000129,U000237,4,Packaging was slightly damaged but product is fine.,2024-09-11 09:34:08
R00000222,O00000197,P000160,U000025,4,Sound quality is top-notch.,2024-09-28 07:11:19
R00000223,O00000580,P000077,U000280,4,"Excellent product, works as expected.",2024-12-30 01:46:47
R00000224,O00001135,P000036,U000108,2,Battery life is amazing.,2023-06-06 01:03:23
R00000225,O00001814,P000110,U000413,3,"Decent overall, could be better.",2021-08-09 05:56:00
R00000226,O00001935,P000029,U000168,4,Not fully satisfied with the performance.,2023-10-24 21:55:03
R00000227,O00000434,P000107,U000390,5,"Excellent product, works as expected.",2022-09-08 03:24:44
R00000228,O00000101,P000242,U000038,3,Battery life is amazing.,2024-08-30 10:25:08
R00000229,O00001655,P000252,U000359,3,Very good quality for the price.,2024-11-09 15:57:50
R00000230,O00000395,P000028,U000254,5,Packaging was slightly damaged but product is fine.,2023-07-30 01:49:42
R00000231,O00001939,P000128,U000106,4,Very good quality for the price.,2023-09-05 10:44:09
R00000232,O00000221,P000077,U000176,2,Great value and fast delivery.,2023-08-25 17:32:50
R00000233,O00001676,P000156,U000456,3,Sound quality is top-notch.,2022-11-30 10:02:29
R00000234,O00001498,P000034,U000255,4,Not fully satisfied with the performance.,2023-06-21 08:29:28
R00000235,O00001785,P000150,U000026,2,"Excellent product, works as expected.",2023-10-27 08:33:15
R00000236,O00000345,P000148,U000022,4,Performance is smooth and reliable.,2023-03-24 03:36:01
R00000237,O00001028,P000159,U000303,5,"Decent overall, could be better.",2023-03-26 09:29:40
R00000238,O00000889,P000298,U000138,5,Very good quality for the price.,2025-01-24 19:28:37
R00000239,O00001351,P000072,U000484,3,Great value and fast delivery.,2024-09-08 13:39:29
R00000240,O00000553,P000280,U000103,5,Battery life is amazing.,2023-01-02 13:42:18
R00000241,O00000744,P000282,U000298,4,Very good quality for the price.,2023-12-29 23:13:28
R00000242,O00001542,P000196,U000076,2,Not fully satisfied with the performance.,2025-02-12 08:53:20
R00000243,O00000539,P000022,U000071,4,Sound quality is top-notch.,2023-04-17 23:56:27
R00000244,O00000907,P000095,U000099,4,Stopped working after a few weeks.,2024-12-23 14:47:12
R00000245,O00001395,P000109,U000473,5,"Excellent product, works as expected.",2025-02-13 20:46:13
R00000246,O00000116,P000193,U000496,5,"Excellent product, works as expected.",2024-10-19 22:55:45
R00000247,O00000830,P000087,U000074,4,Very good quality for the price.,2021-11-16 07:56:03
R00000248,O00001938,P000294,U000100,3,Not fully satisfied with the performance.,2024-09-29 15:21:35
R00000249,O00000809,P000002,U000322,5,Performance is smooth and reliable.,2024-10-26 18:13:42
R00000250,O00001311,P000114,U000299,1,Sound quality is top-notch.,2024-02-25 17:41:44
R00000251,O00001005,P000132,U000254,4,Not fully satisfied with the performance.,2023-06-13 04:23:28
R00000252,O00000306,P000120,U000425,4,Battery life is amazing.,2023-10-09 08:13:58
R00000253,O00001101,P000122,U000252,4,Battery life is amazing.,2023-12-11 22:33:21
R00000254,O00000480,P000162,U000039,2,Stopped working after a few weeks.,2022-10-06 16:36:05
R00000255,O00001424,P000201,U000322,4,Great value and fast delivery.,2025-01-13 14:31:23
R00000256,O00001076,P000214,U000314,4,Battery life is amazing.,2024-08-07 08:01:37
R00000257,O00000571,P000008,U000452,5,Not fully satisfied with the performance.,2024-10-28 10:19:26
R00000258,O00000619,P000038,U000043,5,"Decent overall, could be better.",2024-07-21 05:51:47
R00000259,O00001898,P000157,U000384,5,Stopped working after a few weeks.,2024-12-03 18:52:11
R00000260,O00001266,P000087,U000428,5,"Excellent product, works as expected.",2024-12-13 17:33:53
R00000261,O00000079,P000157,U000014,5,Packaging was slightly damaged but product is fine.,2023-06-15 21:27:59
R00000262,O00001912,P000215,U000121,3,Battery life is amazing.,2023-03-15 21:30:11
R00000263,O00000033,P000077,U000404,4,Great value and fast delivery.,2023-01-03 11:33:19
R00000264,O00001538,P000039,U000386,5,"Excellent product, works as expected.",2023-12-23 17:14:45
R00000265,O00001034,P000054,U000011,4,"Decent overall, could be better.",2023-06-15 12:08:06
R00000266,O00001563,P000215,U000082,4,Not fully satisfied with the performance.,2024-11-09 13:22:12
R00000267,O00000352,P000123,U000286,4,Great value and fast delivery.,2023-11-11 16:32:43
R00000268,O00000164,P000069,U000413,4,Very good quality for the price.,2024-02-09 22:41:38
R00000269,O00000204,P000233,U000207,4,Performance is smooth and reliable.,2024-10-28 00:21:24
R00000270,O00001054,P000271,U000366,5,Performance is smooth and reliable.,2024-11-28 10:38:33
R00000271,O00001365,P000008,U000449,5,Battery life is amazing.,2024-06-07 19:52:22
R00000272,O00001967,P000092,U000004,4,Sound quality is top-notch.,2024-10-01 16:07:41
R00000273,O00000496,P000279,U000225,5,Packaging was slightly damaged but product is fine.,2024-10-11 11:04:25
R00000274,O00001625,P000088,U000365,5,"Decent overall, could be better.",2024-02-22 14:30:44
R00000275,O00001966,P000041,U000290,5,Great value and fast delivery.,2024-08-21 06:29:52
R00000276,O00001963,P000092,U000288,5,Battery life is amazing.,2023-12-02 19:25:19
R00000277,O00000611,P000236,U000409,4,"Excellent product, works as expected.",2022-06-19 05:17:05
R00000278,O00000433,P000147,U000085,4,Packaging was slightly damaged but product is fine.,2021-07-21 06:39:59
R00000279,O00001492,P000262,U000363,2,Battery life is amazing.,2024-03-23 06:45:10
R00000280,O00000219,P000060,U000078,4,"Excellent product, works as expected.",2024-03-29 23:35:33
R00000281,O00001931,P000254,U000302,1,Battery life is amazing.,2023-09-08 14:49:02
R00000282,O00001466,P000054,U000325,5,Stopped working after a few weeks.,2024-09-02 18:08:35
R00000283,O00000631,P000015,U000264,2,Performance is smooth and reliable.,2023-08-26 13:01:31
R00000284,O00001382,P000007,U000244,3,Battery life is amazing.,2024-11-08 19:26:09
R00000285,O00001302,P000047,U000439,4,Very good quality for the price.,2024-09-20 23:57:01
R00000286,O00000060,P000039,U000314,4,Not fully satisfied with the performance.,2023-06-12 16:53:50
R00000287,O00000299,P000103,U000257,3,Stopped working after a few weeks.,2022-03-14 15:04:21
R00000288,O00001711,P000019,U000397,4,Packaging was slightly damaged but product is fine.,2025-02-01 17:03:53
R00000289,O00000074,P000237,U000154,4,"Excellent product, works as expected.",2023-03-30 01:54:25
R00000290,O00000163,P000091,U000219,5,"Decent overall, could be better.",2024-11-26 12:57:05
R00000291,O00001275,P000237,U000021,4,Battery life is amazing.,2025-01-25 16:13:12
R00000292,O00001594,P000133,U000184,5,Packaging was slightly damaged but product is fine.,2024-01-22 00:17:55
R00000293,O00001434,P000053,U000168,4,Very good quality for the price.,2024-01-25 10:06:07
R00000294,O00001613,P000041,U000266,4,Not fully satisfied with the performance.,2023-08-18 21:27:34
R00000295,O00000592,P000288,U000179,3,Packaging was slightly damaged but product is fine.,2023-04-25 21:37:30
R00000296,O00000317,P000183,U000082,4,"Excellent product, works as expected.",2025-01-27 09:18:07
R00000297,O00000046,P000168,U000425,5,"Excellent product, works as expected.",2023-07-28 01:14:03
R00000298,O00001720,P000123,U000356,5,Not fully satisfied with the performance.,2024-02-04 01:19:02
R00000299,O00001832,P000141,U000354,3,Stopped working after a few weeks.,2024-08-21 10:18:06
R00000300,O00000428,P000278,U000415,3,Packaging was slightly damaged but product is fine.,2023-01-11 23:21:22
R00000301,O00000582,P000167,U000037,4,Performance is smooth and reliable.,2024-05-08 02:51:17
R00000302,O00000077,P000175,U000281,2,Battery life is amazing.,2024-08-02 05:58:34
R00000303,O00001917,P000267,U000410,5,"Excellent product, works as expected.",2023-09-20 08:17:17
R00000304,O00001415,P000093,U000500,4,Packaging was slightly damaged but product is fine.,2024-10-22 19:58:43
R00000305,O00000781,P000254,U000083,4,Packaging was slightly damaged but product is fine.,2021-08-30 19:05:36
