product_id,title,brand,category,price,currency,weight_g,rating_avg,num_ratings,inventory,created_at,product_name
P000086,Astra Bluetooth Speaker 212,Astra,Bluetooth Speaker,8156.67,INR,1058,4.44,270,425,2024-12-10,Bluetooth Speaker 212
P000087,Lumina Wireless Earbuds 223,Lumina,Wireless Earbuds,2385.97,INR,403,3.44,382,88,2021-01-31,Wireless Earbuds 223
P000088,Voltix Phone Case 488,Voltix,Phone Case,5514.16,INR,1017,4.12,446,137,2023-10-02,Phone Case 488
P000089,ZenX Wireless Earbuds 33,ZenX,Wireless Earbuds,10776.0,INR,2777,3.92,295,11,2024-05-25,Wireless Earbuds 33
P000090,Lumina Power Bank 52,Lumina,Power Bank,3504.57,INR,550,4.33,340,221,2022-07-14,Power Bank 52
P000091,Everest Smartphone 36,Everest,Smartphone,14979.82,INR,1917,4.08,447,274,2021-09-18,Smartphone 36
P000092,ZenX Gaming Console 297,ZenX,Gaming Console,6486.85,INR,2721,4.12,449,101,2024-03-26,Gaming Console 297
P000093,Skyline Smartphone 330,Skyline,Smartphone,5598.67,INR,669,3.47,303,435,2022-12-23,Smartphone 330
P000094,Voltix Charger 280,Voltix,Charger,23988.95,INR,970,4.71,372,112,2023-12-09,Charger 280
P000095,Skyline Gaming Console 23,Skyline,Gaming Console,19020.33,INR,1497,4.05,358,162,2022-10-04,Gaming Console 23
P000096,Skyline Power Bank 272,Skyline,Power Bank,4280.67,INR,1967,4.1,265,405,2021-11-20,Power Bank 272
P000097,Skyline Wireless Earbuds 356,Skyline,Wireless Earbuds,14983.54,INR,2607,3.43,242,347,2021-12-25,Wireless Earbuds 356
P000098,PixelWave Gaming Console 89,PixelWave,Gaming Console,5716.11,INR,223,3.22,89,206,2021-05-02,Gaming Console 89
P000099,Astra Wireless Earbuds 89,Astra,Wireless Earbuds,4249.51,INR,1745,4.54,463,304,2024-09-20,Wireless Earbuds 89
P000100,Lumina Smartwatch 266,Lumina,Smartwatch,11748.29,INR,151,3.42,259,6,2024-06-29,Smartwatch 266
P000101,Lumina Phone Case 381,Lumina,Phone Case,6112.54,INR,668,3.61,453,95,2023-03-16,Phone Case 381
P000102,ByteCorp Headphones 394,ByteCorp,Headphones,1407.69,INR,326,4.6,469,307,2022-12-04,Headphones 394
P000103,NeoTech Headphones 209,NeoTech,Headphones,14991.05,INR,1555,3.27,85,354,2021-04-20,Headphones 209
P000104,Lumina Headphones 351,Lumina,Headphones,2558.3,INR,2216,4.56,364,254,2023-03-07,Headphones 351
P000105,NeoTech Smartphone 156,NeoTech,Smartphone,5710.89,INR,478,4.43,369,484,2021-09-13,Smartphone 156
P000106,Skyline Charger 189,Skyline,Charger,6360.39,INR,736,3.57,265,367,2021-05-24,Charger 189
P000107,Voltix Bluetooth Speaker 108,Voltix,Bluetooth Speaker,21216.56,INR,2004,3.42,195,392,2021-12-20,Bluetooth Speaker 108
P000108,Voltix Laptop 295,Voltix,Laptop,3771.5,INR,1894,4.05,56,346,2023-07-30,Laptop 295
P000109,Everest Smartwatch 493,Everest,Smartwatch,6452.31,INR,1407,3.62,53,428,2022-05-12,Smartwatch 493
P000110,ByteCorp Power Bank 155,ByteCorp,Power Bank,26918.74,INR,306,4.03,78,142,2023-01-18,Power Bank 155
P000111,Everest Smartwatch 168,Everest,Smartwatch,5473.22,INR,2220,3.49,264,17,2022-10-15,Smartwatch 168
P000112,NovaLink Wireless Earbuds 400,NovaLink,Wireless Earbuds,6823.86,INR,2863,3.71,182,442,2023-10-05,Wireless Earbuds 400
P000113,NeoTech Smartwatch 245,NeoTech,Smartwatch,6887.5,INR,885,3.63,84,66,2021-03-11,Smartwatch 245
P000114,ByteCorp Laptop 271,ByteCorp,Laptop,7683.51,INR,931,3.78,348,207,2023-03-03,Laptop 271
P000115,NovaLink Laptop 261,NovaLink,Laptop,6741.12,INR,1334,4.85,25,153,2022-07-01,Laptop 261
P000116,Voltix Wireless Earbuds 165,Voltix,Wireless Earbuds,2602.16,INR,1988,4.11,231,124,2022-05-06,Wireless Earbuds 165
P000117,PixelWave Bluetooth Speaker 228,PixelWave,Bluetooth Speaker,8976.59,INR,2317,4.02,407,423,2023-02-14,Bluetooth Speaker 228
P000118,NovaLink Power Bank 103,NovaLink,Power Bank,6809.5,INR,1821,4.1,380,172,2024-06-02,Power Bank 103
P000119,Everest Smartphone 211,Everest,Smartphone,3582.64,INR,381,4.27,393,162,2021-02-02,Smartphone 211
P000120,NovaLink Wireless Earbuds 489,NovaLink,Wireless Earbuds,8541.74,INR,1843,4.2,387,393,2023-01-03,Wireless Earbuds 489
P000121,Voltix Smartwatch 316,Voltix,Smartwatch,5892.92,INR,2951,3.77,490,183,2022-10-13,Smartwatch 316
P000122,Lumina Tablet 479,Lumina,Tablet,9424.92,INR,1686,3.3,55,493,2021-10-05,Tablet 479
P000123,Voltix Laptop 9,Voltix,Laptop,4160.71,INR,398,4.31,422,1,2022-12-02,Laptop 9
P000124,Skyline Phone Case 76,Skyline,Phone Case,12031.44,INR,2936,3.99,365,472,2024-12-10,Phone Case 76
P000125,ByteCorp Bluetooth Speaker 133,ByteCorp,Bluetooth Speaker,7967.69,INR,232,4.29,54,4,2024-09-20,Bluetooth Speaker 133
P000126,NeoTech Smartphone 365,NeoTech,Smartphone,5044.27,INR,1556,4.06,441,252,2023-11-27,Smartphone 365
P000127,ByteCorp Gaming Console 429,ByteCorp,Gaming Console,3350.66,INR,473,2.7,146,431,2022-07-24,Gaming Console 429
P000128,ByteCorp Smartwatch 165,ByteCorp,Smartwatch,17764.33,INR,1639,3.75,356,150,2021-10-19,Smartwatch 165
P000129,Skyline Headphones 16,Skyline,Headphones,8675.42,INR,1732,3.77,108,231,2021-09-22,Headphones 16
P000130,Voltix Laptop 253,Voltix,Laptop,9669.73,INR,2056,4.46,206,174,2022-03-20,Laptop 253
P000131,Lumina Headphones 358,Lumina,Headphones,5125.26,INR,1993,3.5,187,27,2023-04-16,Headphones 358
P000132,NeoTech Phone Case 133,NeoTech,Phone Case,8615.81,INR,720,3.44,373,19,2023-04-05,Phone Case 133
P000133,PixelWave Headphones 247,PixelWave,Headphones,16242.23,INR,2862,4.18,126,148,2024-03-24,Headphones 247
P000134,NeoTech Power Bank 453,NeoTech,Power Bank,2734.96,INR,2817,3.7,213,356,2023-09-28,Power Bank 453
P000135,NeoTech Gaming Console 496,NeoTech,Gaming Console,22774.94,INR,1627,4.19,89,412,2023-02-19,Gaming Console 496
P000136,Astra Phone Case 391,Astra,Phone Case,14454.06,INR,615,3.98,45,463,2023-06-04,Phone Case 391
P000137,Voltix Monitor 133,Voltix,Monitor,6599.23,INR,2839,3.01,63,167,2022-02-05,Monitor 133
P000138,Lumina Gaming Console 412,Lumina,Gaming Console,5743.43,INR,195,3.36,457,189,2022-09-03,Gaming Console 412
P000139,NeoTech Tablet 193,NeoTech,Tablet,2222.52,INR,1090,4.2,170,302,2021-02-06,Tablet 193
P000140,Astra Smartphone 113,Astra,Smartphone,8911.24,INR,686,4.51,182,464,2021-03-07,Smartphone 113
P000141,Voltix Laptop 252,Voltix,Laptop,6119.37,INR,2806,4.23,164,34,2024-01-23,Laptop 252
P000142,Lumina Bluetooth Speaker 366,Lumina,Bluetooth Speaker,8770.28,INR,2548,4.41,69,383,2023-11-10,Bluetooth Speaker 366
P000143,Lumina Bluetooth Speaker 403,Lumina,Bluetooth Speaker,13663.64,INR,297,3.1,465,463,2024-12-23,Bluetooth Speaker 403
P000144,Astra Wireless Earbuds 223,Astra,Wireless Earbuds,2896.65,INR,2333,3.64,75,17,2023-09-05,Wireless Earbuds 223
P000145,Everest Headphones 385,Everest,Headphones,5959.63,INR,2428,3.48,305,174,2021-05-24,Headphones 385
P000146,PixelWave Power Bank 376,PixelWave,Power Bank,10242.21,INR,900,4.25,333,224,2022-11-07,Power Bank 376
P000147,ZenX Gaming Console 133,ZenX,Gaming Console,10868.57,INR,2566,4.03,218,92,2022-01-30,Gaming Console 133
P000148,Everest Laptop 430,Everest,Laptop,12881.2,INR,2691,4.28,372,251,2021-03-17,Laptop 430
P000149,ZenX Gaming Console 209,ZenX,Gaming Console,8438.86,INR,1185,4.1,256,383,2022-05-30,Gaming Console 209
P000150,Everest Gaming Console 304,Everest,Gaming Console,10439.72,INR,1740,4.53,482,128,2023-09-06,Gaming Console 304
P000151,NovaLink Smartphone 484,NovaLink,Smartphone,6458.66,INR,1540,3.6,484,83,2021-07-27,Smartphone 484
P000152,Everest Bluetooth Speaker 463,Everest,Bluetooth Speaker,13464.1,INR,1626,4.16,158,292,2022-04-08,Bluetooth Speaker 463
P000153,ByteCorp Monitor 132,ByteCorp,Monitor,6638.88,INR,2826,4.2,66,191,2023-11-20,Monitor 132
P000154,Lumina Charger 130,Lumina,Charger,4602.67,INR,270,4.47,16,33,2023-01-14,Charger 130
P000155,Everest Laptop 256,Everest,Laptop,7800.12,INR,302,3.58,334,199,2024-10-01,Laptop 256
P000156,NeoTech Headphones 131,NeoTech,Headphones,11621.08,INR,2694,4.17,69,293,2022-05-03,Headphones 131
P000157,Lumina Monitor 359,Lumina,Monitor,5185.82,INR,1465,3.53,86,360,2024-12-31,Monitor 359
P000158,Voltix Charger 382,Voltix,Charger,17688.94,INR,1420,4.32,387,461,2024-09-07,Charger 382
P000159,ByteCorp Smartwatch 44,ByteCorp,Smartwatch,43808.78,INR,1794,3.63,465,172,2022-04-05,Smartwatch 44
P000160,ByteCorp Wireless Earbuds 163,ByteCorp,Wireless Earbuds,4244.8,INR,1129,3.85,160,95,2023-03-17,Wireless Earbuds 163
P000161,NeoTech Laptop 449,NeoTech,Laptop,8358.37,INR,1485,4.25,355,295,2021-02-26,Laptop 449
P000162,PixelWave Smartwatch 59,PixelWave,Smartwatch,28931.49,INR,1995,4.12,228,47,2024-03-13,Smartwatch 59
P000163,Everest Charger 474,Everest,Charger,2851.78,INR,1266,3.94,439,425,2022-04-13,Charger 474
P000164,NovaLink Smartphone 469,NovaLink,Smartphone,11264.26,INR,1168,4.36,419,30,2022-11-17,Smartphone 469
P000165,ByteCorp Monitor 185,ByteCorp,Monitor,8284.02,INR,2027,3.07,199,348,2022-01-18,Monitor 185
P000166,Everest Smartphone 154,Everest,Smartphone,7121.76,INR,1918,3.59,349,266,2024-12-28,Smartphone 154
P000167,ZenX Charger 386,ZenX,Charger,8556.79,INR,940,4.54,297,149,2023-02-02,Charger 386
P000168,Lumina Smartwatch 62,Lumina,Smartwatch,10536.42,INR,2738,4.31,358,214,2024-12-17,Smartwatch 62
P000169,Astra Smartwatch 349,Astra,Smartwatch,14585.03,INR,2421,4.89,234,221,2023-04-02,Smartwatch 349
P000170,Astra Phone Case 16,Astra,Phone Case,8158.1,INR,467,3.95,49,361,2024-05-03,Phone Case 16
P000171,NovaLink Gaming Console 434,NovaLink,Gaming Console,8566.44,INR,2787,4.04,310,295,2024-05-15,Gaming Console 434
P000172,Astra Monitor 262,Astra,Monitor,9326.16,INR,2620,4.08,357,108,2021-08-16,Monitor 262
P000173,Lumina Phone Case 430,Lumina,Phone Case,9569.86,INR,1516,3.46,215,448,2022-05-11,Phone Case 430
P000174,Lumina Tablet 352,Lumina,Tablet,4656.0,INR,2140,3.48,252,444,2023-11-06,Tablet 352
P000175,ByteCorp Phone Case 382,ByteCorp,Phone Case,4714.96,INR,897,4.61,153,82,2023-11-01,Phone Case 382
P000176,Astra Tablet 293,Astra,Tablet,14264.88,INR,1870,4.25,350,19,2021-04-17,Tablet 293
P000177,NovaLink Headphones 364,NovaLink,Headphones,5183.45,INR,2707,4.58,12,494,2024-10-18,Headphones 364
P000178,Everest Tablet 157,Everest,Tablet,12150.03,INR,2293,2.81,437,218,2021-05-15,Tablet 157
P000179,ZenX Charger 162,ZenX,Charger,9889.19,INR,1724,4.54,221,316,2024-08-05,Charger 162
P000180,PixelWave Smartphone 309,PixelWave,Smartphone,5060.05,INR,2985,4.07,11,90,2024-01-19,Smartphone 309
P000181,ZenX Charger 176,ZenX,Charger,13011.9,INR,896,3.89,95,412,2022-12-27,Charger 176
P000182,NovaLink Gaming Console 308,NovaLink,Gaming Console,10402.7,INR,2765,3.45,23,201,2023-12-26,Gaming Console 308
P000183,Everest Monitor 41,Everest,Monitor,8743.98,INR,1252,3.36,493,61,2021-10-17,Monitor 41
P000184,ZenX Power Bank 67,ZenX,Power Bank,2463.93,INR,1763,4.62,86,188,2022-04-02,Power Bank 67
P000185,PixelWave Power Bank 413,PixelWave,Power Bank,9567.96,INR,2234,4.18,219,105,2024-06-22,Power Bank 413
P000186,ZenX Smartphone 416,ZenX,Smartphone,14510.15,INR,1171,3.21,169,85,2023-10-17,Smartphone 416
P000187,Astra Monitor 35,Astra,Monitor,16674.24,INR,2850,4.58,151,0,2021-04-08,Monitor 35
P000188,Everest Smartwatch 495,Everest,Smartwatch,5166.75,INR,2601,3.75,157,11,2024-07-21,Smartwatch 495
P000189,Everest Gaming Console 29,Everest,Gaming Console,4750.42,INR,2231,3.78,125,383,2022-09-15,Gaming Console 29
P000190,NovaLink Bluetooth Speaker 143,NovaLink,Bluetooth Speaker,25880.08,INR,2407,4.01,445,494,2022-08-09,Bluetooth Speaker 143
P000191,Everest Laptop 75,Everest,Laptop,13304.32,INR,2840,4.68,35,49,2024-07-18,Laptop 75
P000192,Skyline Smartwatch 56,Skyline,Smartwatch,10095.04,INR,2029,3.86,415,209,2021-03-31,Smartwatch 56
P000193,ByteCorp Laptop 183,ByteCorp,Laptop,6889.56,INR,867,4.63,236,348,2022-03-23,Laptop 183
P000194,Voltix Smartphone 383,Voltix,Smartphone,1939.08,INR,827,4.26,405,436,2021-11-06,Smartphone 383
P000195,ZenX Smartwatch 301,ZenX,Smartwatch,8970.39,INR,1410,3.55,349,48,2021-12-14,Smartwatch 301
P000196,Skyline Laptop 218,Skyline,Laptop,7941.35,INR,536,3.75,154,381,2021-09-16,Laptop 218
P000197,Skyline Gaming Console 493,Skyline,Gaming Console,13369.29,INR,1072,4.42,376,424,2023-05-16,Gaming Console 493
P000198,NeoTech Headphones 172,NeoTech,Headphones,2361.71,INR,2292,3.91,160,297,2021-10-15,Headphones 172
P000199,Skyline Laptop 495,Skyline,Laptop,7289.43,INR,1249,4.75,102,195,2023-03-23,Laptop 495
P000200,PixelWave Phone Case 306,PixelWave,Phone Case,11765.9,INR,1829,3.98,239,446,2022-07-24,Phone Case 306
P000201,PixelWave Smartphone 403,PixelWave,Smartphone,2182.3,INR,1627,4.16,282,436,2022-04-27,Smartphone 403
P000202,Lumina Bluetooth Speaker 267,Lumina,Bluetooth Speaker,20785.25,INR,2802,3.5,254,208,2021-10-15,Bluetooth Speaker 267
P000203,ZenX Charger 269,ZenX,Charger,37017.38,INR,1110,4.56,62,488,2023-02-10,Charger 269
P000204,Everest Tablet 69,Everest,Tablet,13008.32,INR,295,3.45,58,98,2024-01-03,Tablet 69
P000205,NovaLink Smartwatch 382,NovaLink,Smartwatch,21072.99,INR,544,2.78,451,53,2021-04-11,Smartwatch 382
P000206,PixelWave Power Bank 28,PixelWave,Power Bank,8313.02,INR,2106,3.96,38,414,2024-07-27,Power Bank 28
P000207,NovaLink Charger 359,NovaLink,Charger,3230.14,INR,1458,4.34,168,95,2024-10-30,Charger 359
P000208,Skyline Smartphone 30,Skyline,Smartphone,12102.09,INR,1803,4.56,339,378,2022-07-10,Smartphone 30
P000209,PixelWave Bluetooth Speaker 498,PixelWave,Bluetooth Speaker,12376.83,INR,118,4.15,109,168,2022-12-05,Bluetooth Speaker 498
P000210,ByteCorp Wireless Earbuds 419,ByteCorp,Wireless Earbuds,6215.83,INR,1757,3.91,426,291,2024-01-11,Wireless Earbuds 419
P000211,NovaLink Tablet 293,NovaLink,Tablet,6200.33,INR,1902,4.14,362,142,2024-02-29,Tablet 293
P000212,ByteCorp Laptop 399,ByteCorp,Laptop,11448.24,INR,1911,3.57,391,50,2021-06-02,Laptop 399
P000213,Lumina Charger 137,Lumina,Charger,6550.18,INR,2931,3.73,437,165,2021-05-13,Charger 137
P000214,Lumina Headphones 199,Lumina,Headphones,2917.06,INR,1817,3.28,450,413,2022-07-10,Headphones 199
P000215,ByteCorp Charger 297,ByteCorp,Charger,5182.33,INR,958,4.31,175,418,2024-06-16,Charger 297
P000216,Astra Smartphone 18,Astra,Smartphone,6846.96,INR,2197,4.77,171,25,2024-02-18,Smartphone 18
P000217,NeoTech Laptop 72,NeoTech,Laptop,15998.87,INR,565,3.71,192,190,2023-01-09,Laptop 72
P000218,Skyline Phone Case 492,Skyline,Phone Case,3250.88,INR,781,4.51,28,407,2024-06-03,Phone Case 492
P000219,Everest Bluetooth Speaker 192,Everest,Bluetooth Speaker,7005.34,INR,2424,3.51,403,93,2022-08-11,Bluetooth Speaker 192
P000220,Everest Power Bank 97,Everest,Power Bank,7496.25,INR,247,4.04,327,261,2024-12-19,Power Bank 97
P000221,Everest Bluetooth Speaker 276,Everest,Bluetooth Speaker,12629.81,INR,2265,5.0,411,98,2021-02-19,Bluetooth Speaker 276
P000222,Everest Headphones 314,Everest,Headphones,12853.6,INR,2080,4.41,360,138,2024-05-19,Headphones 314
